accountid,reading_nov,usage_nov,bill_nov,penalty_nov,totalbill_nov,reading_dec,usage_dec,bill_dec,penalty_dec,totalbill_dec
0000000322-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000322-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000323-01-2010,139.0,7.0,25.0,0.0,25.0,146.0,7.0,25.0,0.0,25.0
0000000323-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000323-01-2018,9931.0,0.0,0.0,0.0,0.0,10000.0,69.0,172.0,0.0,172.0
0000000323-01-2019,10662.0,27.0,46.0,0.0,46.0,10696.0,34.0,67.0,0.0,67.0
0000000323-01-2020,11023.0,20.0,25.0,0.0,25.0,11052.0,29.0,52.0,0.0,52.0
0000000323-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000323-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000324-01-2010,6750.0,1.0,25.0,0.0,25.0,6751.0,1.0,25.0,0.0,25.0
0000000324-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000324-01-2018,6769.0,0.0,0.0,0.0,0.0,6769.0,0.0,0.0,0.0,0.0
0000000324-01-2019,6769.0,0.0,0.0,0.0,0.0,6769.0,0.0,0.0,0.0,0.0
0000000324-01-2020,6813.0,9.0,25.0,0.0,25.0,6822.0,9.0,25.0,0.0,25.0
0000000324-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000324-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000325-01-2010,1153.0,6.0,25.0,0.0,25.0,1162.0,9.0,25.0,0.0,25.0
0000000325-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000325-01-2018,2346.0,0.0,0.0,0.0,0.0,2374.0,0.0,0.0,0.0,0.0
0000000325-01-2019,2475.0,8.0,25.0,0.0,25.0,2484.0,9.0,25.0,0.0,25.0
0000000325-01-2020,2568.0,9.0,25.0,0.0,25.0,2584.0,16.0,25.0,0.0,25.0
0000000325-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000325-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000326-01-2010,2055.0,54.0,93.0,0.0,93.0,2091.0,36.0,57.0,0.0,57.0
0000000326-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000326-01-2018,6608.0,0.0,0.0,0.0,0.0,6646.0,0.0,0.0,0.0,0.0
0000000326-01-2019,7117.0,86.0,223.0,0.0,223.0,7117.0,0.0,0.0,0.0,0.0
0000000326-01-2020,7502.0,42.0,91.0,0.0,91.0,7561.0,59.0,142.0,0.0,142.0
0000000326-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000326-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000327-01-2010,1316.0,1.0,25.0,0.0,25.0,1317.0,1.0,25.0,0.0,25.0
